barcode,array_id,rna_in_array,rna_in_labeling_reaction,tissue_sample_id,structure,rna_integrity_number,donor,download_link
252491511476_1_3,147807233,600,5,127426938,medial intermediate part of entorhinal cortex,,H376.IIIB.02,/api/v2/well_known_file_download/147825981
252491511156_2_4,121063553,600,5,12823,MZ in primary auditory cortex,,H376.IV.02,/api/v2/well_known_file_download/149124229
252491511098_2_1,127366657,600,5,113221535,outer SZ in midlateral extrastriate cortex,,H376.IV.03,/api/v2/well_known_file_download/149206321
252491511096_1_4,127366651,600,5,113221535,outer SZ in midlateral extrastriate cortex,,H376.IV.03,/api/v2/well_known_file_download/149206262
252491511198_2_3,147805590,600,5,113222054,anterior amygdaloid area,,H376.IIIA.02,/api/v2/well_known_file_download/147817409
252491511198_1_1,147805584,600,5,113222054,anterior amygdaloid area,,H376.IIIA.02,/api/v2/well_known_file_download/147817397
252491511228_2_4,147805726,600,5,127374025,outer CP in frontal polar cortex,,H376.IIIB.02,/api/v2/well_known_file_download/147819905
252491511089_1_1,127366336,600,5,113221117,outer SZ in primary somatosensory cortex,,H376.IV.03,/api/v2/well_known_file_download/149206183
252491511142_2_2,121063882,600,5,12927,SG in midlateral extrastriate cortex (area 19),,H376.IV.02,/api/v2/well_known_file_download/149124028
252491511153_1_1,121063568,600,5,12827,outer CP in superolateral temporal cortex,,H376.IV.02,/api/v2/well_known_file_download/149124181
252491510933_1_2,147805486,600,5,127401210,pretectal nuclear complex,,H376.IIIA.02,/api/v2/well_known_file_download/147817207
252491511228_2_2,147805854,600,5,127409095,VZ in subgenual cingulate neocortex,,H376.IIIB.02,/api/v2/well_known_file_download/147819900
252491511325_2_1,147805962,600,5,127409225,SZ in rostral cingulate cortex,,H376.IIIB.02,/api/v2/well_known_file_download/147820447
252491511159_2_1,114245766,600,5,12033,SG in granular insular cortex,,H376.IV.02,/api/v2/well_known_file_download/121059849
252491511257_1_2,147803102,600,5,113221819,medial ganglionic eminence,,H376.IIIA.02,/api/v2/well_known_file_download/147815470
252491511266_2_1,147804018,600,5,127401377,SP in midlateral temporal cortex,,H376.IIIA.02,/api/v2/well_known_file_download/147815622
252491511195_2_1,147804733,600,5,113221817,lateral septal nucleus,,H376.IIIA.02,/api/v2/well_known_file_download/147817357
252491511154_2_2,127366586,600,5,113221487,inner SZ in posteroinferior (ventral) parietal cortex,,H376.IV.03,/api/v2/well_known_file_download/149206535
252491511109_1_2,127366358,600,5,113221125,lateral habenular nucleus,,H376.IV.03,/api/v2/well_known_file_download/149206360
252491510813_2_1,147806225,600,5,127426743,ventral anterior nucleus of thalamus,,H376.IIIB.02,/api/v2/well_known_file_download/147819858
252491510960_1_1,146037058,600,5,12898,SP in posterior parahippocampal cortex,,H376.IV.02,/api/v2/well_known_file_download/146038924
252491511145_2_1,121063799,600,5,12898,SP in posterior parahippocampal cortex,,H376.IV.02,/api/v2/well_known_file_download/149124058
252491511045_1_3,121080018,600,5,113220253,inner CP in ventrolateral prefrontal cortex,,H376.IV.03,/api/v2/well_known_file_download/149195841
252491511198_1_4,147804957,600,5,127403450,outer SZ in midlateral extrastriate cortex,,H376.IIIA.02,/api/v2/well_known_file_download/147817403
252491510814_2_4,147805760,600,5,127374107,outer SZ in dorsolateral prefrontal cortex,,H376.IIIB.02,/api/v2/well_known_file_download/147819872
252491511267_2_4,147803383,600,5,113221937,outer portion of medial ganglionic eminence,,H376.IIIA.02,/api/v2/well_known_file_download/147815644
252491511106_2_1,147805042,600,5,127408946,principal sensory nucleus of trigeminal nerve,,H376.IIIA.02,/api/v2/well_known_file_download/147817277
252491511080_1_1,127366370,600,5,113221152,outer CP in posteror frontal cortex (motor cortex),,H376.IV.03,/api/v2/well_known_file_download/149206086
252491511079_1_4,127366194,600,5,113221041,lateral dorsal nucleus of thalamus,,H376.IV.03,/api/v2/well_known_file_download/149206072
252491511135_2_3,121064049,600,5,12960,inner SZ in primary visual cortex,,H376.IV.02,/api/v2/well_known_file_download/149123849
252491511190_2_3,114245313,600,5,11996,outer SZ in dorsolateral prefrontal cortex,,H376.IV.02,/api/v2/well_known_file_download/121059915
252491511046_2_3,121081007,600,5,113220593,endopiriform nucleus,,H376.IV.03,/api/v2/well_known_file_download/149195865
252491511107_1_1,147804861,600,5,113221914,medioventral part of putamen,,H376.IIIA.02,/api/v2/well_known_file_download/147817285
252491511472_1_4,147807778,600,5,127434582,inferior colliculus,,H376.IIIB.02,/api/v2/well_known_file_download/147825919
252491511255_2_2,147803580,600,5,127407352,inner CP in medial temporal-occipital cortex,,H376.IIIA.02,/api/v2/well_known_file_download/147815446
252491511197_1_4,147804687,600,5,13368,outer SZ in dorsomedial frontal cortex,,H376.IIIA.02,/api/v2/well_known_file_download/147817387
252491511201_2_4,114245756,600,5,12035,rostral migratory stream,,H376.IV.02,/api/v2/well_known_file_download/121059957
252491510930_2_2,147805578,600,5,113222052,central portion of GPi,,H376.IIIA.02,/api/v2/well_known_file_download/147817167
252491511299_2_2,147807012,600,5,127409984,outer portion of medial ganglionic eminence,,H376.IIIB.02,/api/v2/well_known_file_download/147825647
