barcode,array_id,rna_in_array,rna_in_labeling_reaction,tissue_sample_id,structure,rna_integrity_number,donor,download_link
252491511184_1_3,114245430,600,5,12032,SG in dysgranular insular cortex,,H376.IV.02,/api/v2/well_known_file_download/121059583
252491511183_1_2,114245454,600,5,12050,"lateral hypothalamic area, tuberal part",,H376.IV.02,/api/v2/well_known_file_download/121059671
252491511317_1_1,147806986,600,5,127409160,medial portion of the shell,,H376.IIIB.02,/api/v2/well_known_file_download/147825775
252491511174_1_4,121080685,600,5,113220529,medial preoptic nucleus,,H376.IV.03,/api/v2/well_known_file_download/149196063
252491510930_1_3,147805396,600,5,127401198,outer SZ in posteroinferior (ventral) parietal cortex,,H376.IIIA.02,/api/v2/well_known_file_download/147817161
252491511052_1_4,121079842,600,5,12969,outer SZ in frontal polar cortex,,H376.IV.03,/api/v2/well_known_file_download/149195877
252491511202_2_3,147805626,600,3.02774755168662,127408513,arcuate nucleus of hypothalamus,,H376.IIIA.02,/api/v2/well_known_file_download/147817425
252491511136_1_4,121063936,600,5,12942,inner SZ in ventromedial extrastriate cortex,,H376.IV.02,/api/v2/well_known_file_download/149123839
252491511161_2_1,121063824,600,5,12904,inner CP in dorsomedial parietal cortex (area 7m),,H376.IV.02,/api/v2/well_known_file_download/149124255
252491511215_2_1,147802982,600,5,13385,outer CP in orbital frontal cortex,,H376.IIIA.02,/api/v2/well_known_file_download/147815094
252491511046_1_4,121080552,600,5,113220507,layer III of piriform cortex,,H376.IV.03,/api/v2/well_known_file_download/149195859
252491511451_1_1,156438149,600,5,127434270,stratum pyramidale of caudal CA1,,H376.IIIB.02,/api/v2/well_known_file_download/156887137
252491511297_2_2,147807361,600,5,127434270,stratum pyramidale of caudal CA1,,H376.IIIB.02,/api/v2/well_known_file_download/147825615
252491511282_1_1,147806441,600,5,127426942,dorsal subdivision of VLC,,H376.IIIB.02,/api/v2/well_known_file_download/147820385
252491511175_1_4,127366272,600,5,113221082,inner CP in superolateral temporal cortex,,H376.IV.03,/api/v2/well_known_file_download/149206547
252491511455_1_1,156437939,600,5,13376,inner SZ in ventrolateral prefrontal cortex,,H376.IIIA.02,/api/v2/well_known_file_download/156886650
252491510954_2_3,146036883,600,5,113220967,IZ in granular insular cortex,,H376.IV.03,/api/v2/well_known_file_download/146039569
252491511254_1_3,147806710,600,5,127434198,medial geniculate nuclei,,H376.IIIB.02,/api/v2/well_known_file_download/147820236
252491511281_2_3,147806704,600,5,127434198,medial geniculate nuclei,,H376.IIIB.02,/api/v2/well_known_file_download/147820381
252491511182_1_2,114245685,600,5,12107,VZ in midcingulate neocortex,,H376.IV.02,/api/v2/well_known_file_download/121059685
252491510958_1_2,146037082,600,5,12953,outer CP in dorsomedial extrastriate cortex,,H376.IV.02,/api/v2/well_known_file_download/146038901
252491511193_2_1,147805192,600,5,127407480,granular layer of caudal dentate gyrus,,H376.IIIA.02,/api/v2/well_known_file_download/147817325
252491511250_2_2,147805872,600,5,127409137,medial ganglionic eminence,,H376.IIIB.02,/api/v2/well_known_file_download/147820071
252491511142_2_1,121063879,600,5,12926,VZ in lateral temporal-occipital cortex,,H376.IV.02,/api/v2/well_known_file_download/149124026
252491510812_1_4,147805986,600,5,127426338,body of caudate,,H376.IIIB.02,/api/v2/well_known_file_download/147819840
252491511090_2_3,127366242,600,5,113221074,inner CP in primary somatosensory cortex,,H376.IV.03,/api/v2/well_known_file_download/149206242
252491511265_2_3,147803340,600,5,113221910,layer III of piriform cortex,,H376.IIIA.02,/api/v2/well_known_file_download/147815610
252491511162_1_2,121064271,600,5,12963,VZ in primary visual cortex,,H376.IV.02,/api/v2/well_known_file_download/149124265
252491511151_1_1,121063627,600,5,12843,medial nucleus of pulvinar,,H376.IV.02,/api/v2/well_known_file_download/149124149
252491510933_2_1,147805506,600,5,113221963,basal nucleus of Meynert,,H376.IIIA.02,/api/v2/well_known_file_download/147817213
252491511290_2_2,147807317,600,5,127434103,ventral tegmental area,,H376.IIIB.02,/api/v2/well_known_file_download/147825583
252491510930_1_1,147804839,600,5,113221886,ventral claustrum,,H376.IIIA.02,/api/v2/well_known_file_download/147817157
252491511055_2_4,121080197,600,5,113220457,core of nucleus accumbens,,H376.IV.03,/api/v2/well_known_file_download/149195926
252491511323_2_1,147807391,600,5,127434294,molecular layer of caudal subiculum,,H376.IIIB.02,/api/v2/well_known_file_download/147825879
252491511281_2_2,147806692,600,5,127434194,medial nucleus of pulvinar,,H376.IIIB.02,/api/v2/well_known_file_download/147820379
252491511087_1_2,127366034,600,5,113221019,anteroventral nucleus of thalamus,,H376.IV.03,/api/v2/well_known_file_download/149206104
252491511315_1_3,147807255,600,5,127426970,ventral posterior medial nucleus,,H376.IIIB.02,/api/v2/well_known_file_download/147825747
252491511262_1_3,147803713,600,5,127407817,paravermis of cerebellum,,H376.IIIA.02,/api/v2/well_known_file_download/147815554
252491511052_2_3,121081400,600,5,113220732,medial intermediate part of entorhinal cortex,,H376.IV.03,/api/v2/well_known_file_download/149195883
252491511260_2_4,147802878,600,5,13344,medial subdivision of area 10,,H376.IIIA.02,/api/v2/well_known_file_download/147815532
252491511255_1_1,147803746,600,4.6726618705036,127407827,parasolitary nucleus,,H376.IIIA.02,/api/v2/well_known_file_download/147815436
252491511108_1_4,127366020,600,5,113247997,anterodorsal nucleus of thalamus,,H376.IV.03,/api/v2/well_known_file_download/149206345
252491511131_2_3,114245590,600,5,12064,inner SZ in frontal polar cortex,,H376.IV.02,/api/v2/well_known_file_download/121059877
252491511164_1_1,114245733,600,5,12121,medial mammillary nucleus,,H376.IV.02,/api/v2/well_known_file_download/121059841
252491511227_1_1,147805980,600,5,127409242,Ventral pallidus,,H376.IIIB.02,/api/v2/well_known_file_download/147819874
252491510933_1_3,147805560,600,5,113222022,VZ in subcallosal region,,H376.IIIA.02,/api/v2/well_known_file_download/147817209
252491511105_1_3,147804773,600,5,113221747,SP in subgenual (subcallosal) cingulate cortex,,H376.IIIA.02,/api/v2/well_known_file_download/147817257
252491511250_1_1,147806514,600,5,127426996,pyramidal cells of rostral CA4,,H376.IIIB.02,/api/v2/well_known_file_download/147820040
252491511265_1_4,147803459,600,5,127403454,VZ in ventromedial extrastriate cortex (VP),,H376.IIIA.02,/api/v2/well_known_file_download/147815604
252491510813_1_3,147806548,600,5,127427017,outer CP in superolateral temporal cortex,,H376.IIIB.02,/api/v2/well_known_file_download/147819854
252491511058_2_4,121080379,600,5,113220491,layer II of piriform cortex,,H376.IV.03,/api/v2/well_known_file_download/149195970
